run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,568.74,568.74,568.74,1439353672,1439353733,localhost,2015-08-12 04:28:53 2015 UTC,3,100000,1,60000,0,0,496,476,19,1,0.17,0.11,0.28,OpenDaylight,1697,1697
1,610.01,610.01,610.01,1439353739,1439353800,localhost,2015-08-12 04:30:00 2015 UTC,3,100000,1,60000,0,0,496,475,20,1,2.33,0.75,0.49,OpenDaylight,1716,1716
2,568.98,568.98,568.98,1439353806,1439353866,localhost,2015-08-12 04:31:06 2015 UTC,3,100000,1,60000,0,0,496,473,22,1,2.73,1.22,0.67,OpenDaylight,1718,1718
