run_num,cbench_min,cbench_max,cbench_avg,start_time,end_time,controller_ip,human_time,num_switches,num_macs,tests_per_switch,ms_per_test,start_steal_time,end_steal_time,total_ram,used_ram,free_ram,cpus,one_min_load,five_min_load,fifteen_min_load,controller,start_iowait,end_iowait
0,0.00,0.00,0.00,1438059266,1438059327,localhost,2015-07-28 04:55:27 2015 UTC,7,100000,1,60000,0,0,496,479,16,1,0.20,0.16,0.23,OpenDaylight,463,463
1,0.00,0.00,0.00,1438059337,1438059397,localhost,2015-07-28 04:56:37 2015 UTC,7,100000,1,60000,0,0,496,478,17,1,1.61,0.61,0.38,OpenDaylight,484,484
2,0.00,0.00,0.00,1438059404,1438059465,localhost,2015-07-28 04:57:45 2015 UTC,7,100000,1,60000,0,0,496,474,21,1,1.23,0.71,0.43,OpenDaylight,494,494
3,0.00,0.00,0.00,1438059471,1438059531,localhost,2015-07-28 04:58:51 2015 UTC,7,100000,1,60000,0,0,496,475,20,1,1.24,0.82,0.49,OpenDaylight,495,495
4,0.00,0.00,0.00,1438059537,1438059597,localhost,2015-07-28 04:59:57 2015 UTC,7,100000,1,60000,0,0,496,474,21,1,1.34,0.92,0.55,OpenDaylight,496,496
5,0.00,0.00,0.00,1438059603,1438059663,localhost,2015-07-28 05:01:03 2015 UTC,7,100000,1,60000,0,0,496,475,20,1,1.19,0.97,0.59,OpenDaylight,496,496
